Run,Model,True_Label,Predicted_Label,Count
6,MobileNet (Mel),Cendet,Trucukan,0
6,MobileNet (Mel),Gereja,Cendet,0
6,MobileNet (Mel),Gereja,Gereja,12
6,MobileNet (Mel),Gereja,Kutilang,1
6,MobileNet (Mel),Gereja,Perkutut,0
6,MobileNet (Mel),Gereja,Tekukur,0
6,MobileNet (Mel),Gereja,Trucukan,0
6,MobileNet (Mel),Kutilang,Cendet,2
6,MobileNet (Mel),Kutilang,Gereja,0
6,MobileNet (Mel),Kutilang,Kutilang,24
6,MobileNet (Mel),Kutilang,Perkutut,0
6,MobileNet (Mel),Kutilang,Tekukur,0
6,MobileNet (Mel),Kutilang,Trucukan,4
6,MobileNet (Mel),Perkutut,Cendet,2
6,MobileNet (Mel),Perkutut,Gereja,0
6,MobileNet (Mel),Perkutut,Kutilang,0
6,MobileNet (Mel),Perkutut,Perkutut,14
6,MobileNet (Mel),Perkutut,Tekukur,0
6,MobileNet (Mel),Perkutut,Trucukan,0
6,MobileNet (Mel),Tekukur,Cendet,1
6,MobileNet (Mel),Tekukur,Gereja,1
6,MobileNet (Mel),Tekukur,Kutilang,0
6,MobileNet (Mel),Tekukur,Perkutut,0
6,MobileNet (Mel),Tekukur,Tekukur,13
6,MobileNet (Mel),Tekukur,Trucukan,0
6,MobileNet (Mel),Trucukan,Cendet,0
6,MobileNet (Mel),Trucukan,Gereja,0
6,MobileNet (Mel),Trucukan,Kutilang,4
6,MobileNet (Mel),Trucukan,Perkutut,0
6,MobileNet (Mel),Trucukan,Tekukur,0
6,MobileNet (Mel),Trucukan,Trucukan,15
6,MobileNet (MFCC),Cendet,Cendet,18
6,MobileNet (MFCC),Cendet,Gereja,0
6,MobileNet (MFCC),Cendet,Kutilang,0
6,MobileNet (MFCC),Cendet,Perkutut,0
6,MobileNet (MFCC),Cendet,Tekukur,0
6,MobileNet (MFCC),Cendet,Trucukan,1
6,MobileNet (MFCC),Gereja,Cendet,0
6,MobileNet (MFCC),Gereja,Gereja,11
6,MobileNet (MFCC),Gereja,Kutilang,1
6,MobileNet (MFCC),Gereja,Perkutut,0
6,MobileNet (MFCC),Gereja,Tekukur,0
6,MobileNet (MFCC),Gereja,Trucukan,1
6,MobileNet (MFCC),Kutilang,Cendet,0
6,MobileNet (MFCC),Kutilang,Gereja,1
6,MobileNet (MFCC),Kutilang,Kutilang,29
6,MobileNet (MFCC),Kutilang,Perkutut,0
6,MobileNet (MFCC),Kutilang,Tekukur,0
6,MobileNet (MFCC),Kutilang,Trucukan,0
6,MobileNet (MFCC),Perkutut,Cendet,0
6,MobileNet (MFCC),Perkutut,Gereja,0
6,MobileNet (MFCC),Perkutut,Kutilang,0
6,MobileNet (MFCC),Perkutut,Perkutut,16
6,MobileNet (MFCC),Perkutut,Tekukur,0
6,MobileNet (MFCC),Perkutut,Trucukan,0
6,MobileNet (MFCC),Tekukur,Cendet,0
6,MobileNet (MFCC),Tekukur,Gereja,0
6,MobileNet (MFCC),Tekukur,Kutilang,0
6,MobileNet (MFCC),Tekukur,Perkutut,1
6,MobileNet (MFCC),Tekukur,Tekukur,14
6,MobileNet (MFCC),Tekukur,Trucukan,0
6,MobileNet (MFCC),Trucukan,Cendet,0
6,MobileNet (MFCC),Trucukan,Gereja,0
6,MobileNet (MFCC),Trucukan,Kutilang,1
6,MobileNet (MFCC),Trucukan,Perkutut,0
6,MobileNet (MFCC),Trucukan,Tekukur,0
6,MobileNet (MFCC),Trucukan,Trucukan,18
